B.F. Pinkerton|ARNOLD RUTKOWSKI|2012|11|Opéra di Toulon:"Madama Butterfly"|Opéra di Toulon|"Madama Butterfly"|Giacomo Puccini 
Sharpless|FRANCK FERRARI|2012|11|Opéra di Toulon:"Madama Butterfly"|Opéra di Toulon|"Madama Butterfly"|Giacomo Puccini 
Goro|JOSEPH SHOVELTON|2012|11|Opéra di Toulon:"Madama Butterfly"|Opéra di Toulon|"Madama Butterfly"|Giacomo Puccini 
Il principe Yamadori|XIN WANG|2012|11|Opéra di Toulon:"Madama Butterfly"|Opéra di Toulon|"Madama Butterfly"|Giacomo Puccini 
Lo zio Bonzo|NYAMADORJ ENKHBAT|2012|11|Opéra di Toulon:"Madama Butterfly"|Opéra di Toulon|"Madama Butterfly"|Giacomo Puccini 
Fiorello |RYAN MILSTEAD|2013|11|Teatro Regio di Torino: "Il Barbiere di Siviglia"|Teatro Regio di Torino|"Il Barbiere di Siviglia"|Gioachino Rossini
Berta |GIOVANNA DONADINI|2013|11|Teatro Regio di Torino: "Il Barbiere di Siviglia"|Teatro Regio di Torino|"Il Barbiere di Siviglia"|Gioachino Rossini
Un ufficiale |RICCARDO MATTIOTTO|2013|11|Teatro Regio di Torino: "Il Barbiere di Siviglia"|Teatro Regio di Torino|"Il Barbiere di Siviglia"|Gioachino Rossini
Minnie|DEBORAH VOIGT|2011|01|NYC, Metropolitan Opera: "La fanciulla del West"|NYC, Metropolitan Opera|"La fanciulla del West"|Giacomo Puccini
Dick Johnson|CARL TANNER|2011|01|NYC, Metropolitan Opera: "La fanciulla del West"|NYC, Metropolitan Opera|"La fanciulla del West"|Giacomo Puccini
Nick|TONY STEVENSON|2011|01|NYC, Metropolitan Opera: "La fanciulla del West"|NYC, Metropolitan Opera|"La fanciulla del West"|Giacomo Puccini
Trin|HUGO VERA|2011|01|NYC, Metropolitan Opera: "La fanciulla del West"|NYC, Metropolitan Opera|"La fanciulla del West"|Giacomo Puccini
Joe|MICHAEL FOREST|2011|01|NYC, Metropolitan Opera: "La fanciulla del West"|NYC, Metropolitan Opera|"La fanciulla del West"|Giacomo Puccini
Un postiglione|EDWARD MOUT|2011|01|NYC, Metropolitan Opera: "La fanciulla del West"|NYC, Metropolitan Opera|"La fanciulla del West"|Giacomo Puccini
Sonora|DWAYNE CROFT|2011|01|NYC, Metropolitan Opera: "La fanciulla del West"|NYC, Metropolitan Opera|"La fanciulla del West"|Giacomo Puccini
Sid|TREVOR SCHEUNEMANN|2011|01|NYC, Metropolitan Opera: "La fanciulla del West"|NYC, Metropolitan Opera|"La fanciulla del West"|Giacomo Puccini
Bello|RICHARD BERNSTEIN|2011|01|NYC, Metropolitan Opera: "La fanciulla del West"|NYC, Metropolitan Opera|"La fanciulla del West"|Giacomo Puccini
Happy|DAVID CRAWFORD|2011|01|NYC, Metropolitan Opera: "La fanciulla del West"|NYC, Metropolitan Opera|"La fanciulla del West"|Giacomo Puccini
Larkens|EDWARD PARKS|2011|01|NYC, Metropolitan Opera: "La fanciulla del West"|NYC, Metropolitan Opera|"La fanciulla del West"|Giacomo Puccini
Ashby|JAMES COURTNEY|2011|01|NYC, Metropolitan Opera: "La fanciulla del West"|NYC, Metropolitan Opera|"La fanciulla del West"|Giacomo Puccini
Jake Wallace|OREN GRADUS|2011|01|NYC, Metropolitan Opera: "La fanciulla del West"|NYC, Metropolitan Opera|"La fanciulla del West"|Giacomo Puccini
Billy Jackrabbit|PHILIP COKORINOS|2011|01|NYC, Metropolitan Opera: "La fanciulla del West"|NYC, Metropolitan Opera|"La fanciulla del West"|Giacomo Puccini
José Castro|JEFF MATTSEY|2011|01|NYC, Metropolitan Opera: "La fanciulla del West"|NYC, Metropolitan Opera|"La fanciulla del West"|Giacomo Puccini
Suzuki|HERMINE CLAUDE HUGUENEL|2011|11|Pisa, Teatro Verdi:"Madama Butterfly"|Pisa, Teatro Verdi|"Madama Butterfly"|Giacomo Puccini
Kate Pinkerton|EVA CORBETTA|2011|11|Pisa, Teatro Verdi:"Madama Butterfly"|Pisa, Teatro Verdi|"Madama Butterfly"|Giacomo Puccini
B. F. Pinkerton|LEONARDO CAIMI|2011|11|Pisa, Teatro Verdi:"Madama Butterfly"|Pisa, Teatro Verdi|"Madama Butterfly"|Giacomo Puccini
Sharpless|SERGIO BOLOGNA|2011|11|Pisa, Teatro Verdi:"Madama Butterfly"|Pisa, Teatro Verdi|"Madama Butterfly"|Giacomo Puccini
Goro|MAURO BUFFOLI|2011|11|Pisa, Teatro Verdi:"Madama Butterfly"|Pisa, Teatro Verdi|"Madama Butterfly"|Giacomo Puccini
Il Principe Yamadori|VEIO TORCIGLIANI|2011|11|Pisa, Teatro Verdi:"Madama Butterfly"|Pisa, Teatro Verdi|"Madama Butterfly"|Giacomo Puccini
Lo Zio Bonzo|CHOI SEUNG PIL|2011|11|Pisa, Teatro Verdi:"Madama Butterfly"|Pisa, Teatro Verdi|"Madama Butterfly"|Giacomo Puccini
Il Commissario Imperiale|CLAUDIO OTTINO|2011|11|Pisa, Teatro Verdi:"Madama Butterfly"|Pisa, Teatro Verdi|"Madama Butterfly"|Giacomo Puccini
L’Ufficiale del Registro|JORGE AGUILERA|2011|11|Pisa, Teatro Verdi:"Madama Butterfly"|Pisa, Teatro Verdi|"Madama Butterfly"|Giacomo Puccini
Don Ramiro |MAXIM MIRONOV|2015|06|Napoli, Teatro San Carlo: "La Cenerentola"|Napoli, Teatro San Carlo|"La Cenerentola"|Gioachino Rossini
Dandini|SIMONE ALBERGHINI|2015|06|Napoli, Teatro San Carlo: "La Cenerentola"|Napoli, Teatro San Carlo|"La Cenerentola"|Gioachino Rossini
Don Magnifico|CARLO LEPORE|2015|06|Napoli, Teatro San Carlo: "La Cenerentola"|Napoli, Teatro San Carlo|"La Cenerentola"|Gioachino Rossini
Clorinda|CATERINA DI TONNO|2015|06|Napoli, Teatro San Carlo: "La Cenerentola"|Napoli, Teatro San Carlo|"La Cenerentola"|Gioachino Rossini
Tisbe|CANDIDA GUIDA|2015|06|Napoli, Teatro San Carlo: "La Cenerentola"|Napoli, Teatro San Carlo|"La Cenerentola"|Gioachino Rossini
Alidoro|LUCA TITTOTO|2015|06|Napoli, Teatro San Carlo: "La Cenerentola"|Napoli, Teatro San Carlo|"La Cenerentola"|Gioachino Rossini
Angelina, detta Cenerentola|SERENA MALFI|2015|06|Napoli, Teatro San Carlo: "La Cenerentola"|Napoli, Teatro San Carlo|"La Cenerentola"|Gioachino Rossini
Antonio|ROBERTO DE CANDIA|2016|06|Teatro dell'Opera di Roma: "Linda di Chamounix"|Teatro dell'Opera di Roma|"Linda di Chamounix"|Gaetano Donizetti
Maddalena|CATERINA DI TONNO|2016|06|Teatro dell'Opera di Roma: "Linda di Chamounix"|Teatro dell'Opera di Roma|"Linda di Chamounix"|Gaetano Donizetti
L’Intendente del feudo|SAVERIO FIORE|2016|06|Teatro dell'Opera di Roma: "Linda di Chamounix"|Teatro dell'Opera di Roma|"Linda di Chamounix"|Gaetano Donizetti
Wotan|FRANZ HAWLATA|2013|01|Palermo:"Das Rheingold"|Palermo|"Das Rheingold"|-
Donner|ERIC GREENE|2013|01|Palermo:"Das Rheingold"|Palermo|"Das Rheingold"|-
Froh|ALEX WAWILOFF|2013|01|Palermo:"Das Rheingold"|Palermo|"Das Rheingold"|-
Loge|WILL HARTMANN|2013|01|Palermo:"Das Rheingold"|Palermo|"Das Rheingold"|-
Alberich|SERGEI LEIFERKUS|2013|01|Palermo:"Das Rheingold"|Palermo|"Das Rheingold"|-
Mime|ROBERT BRUBAKER|2013|01|Palermo:"Das Rheingold"|Palermo|"Das Rheingold"|-
Fasolt|KEEL WATSON|2013|01|Palermo:"Das Rheingold"|Palermo|"Das Rheingold"|-
Fricka|ANNA MARIA CHIURI|2013|01|Palermo:"Das Rheingold"|Palermo|"Das Rheingold"|-
Freia|STEPHANIE CORLEY|2013|01|Palermo:"Das Rheingold"|Palermo|"Das Rheingold"|-
Erda|CERI WILLIAMS|2013|01|Palermo:"Das Rheingold"|Palermo|"Das Rheingold"|-
Die Rheintöchter, Woglinde|ANA PUCHE ROSADO|2013|01|Palermo:"Das Rheingold"|Palermo|"Das Rheingold"|-
Flosshilde|LIEN HAEGEMAN|2013|01|Palermo:"Das Rheingold"|Palermo|"Das Rheingold"|-
Il Commendatore�|MICHAIL RYSSOV|2014|05|Palermo, Teatro Massimo: "Don Giovanni"|Palermo, Teatro Massimo|"Don Giovanni"|Wolfgang Amadeus Mozart
Donna Anna�|ROCIO IGNACIO|2014|05|Palermo, Teatro Massimo: "Don Giovanni"|Palermo, Teatro Massimo|"Don Giovanni"|Wolfgang Amadeus Mozart
Donna Elvira�|MAIJA KOVALEVSKA|2014|05|Palermo, Teatro Massimo: "Don Giovanni"|Palermo, Teatro Massimo|"Don Giovanni"|Wolfgang Amadeus Mozart
Leporello|MARCO VINCO|2014|05|Palermo, Teatro Massimo: "Don Giovanni"|Palermo, Teatro Massimo|"Don Giovanni"|Wolfgang Amadeus Mozart
Masetto|BIAGIO PIZZUTI|2014|05|Palermo, Teatro Massimo: "Don Giovanni"|Palermo, Teatro Massimo|"Don Giovanni"|Wolfgang Amadeus Mozart
Zerlina|BARBARA BARGNESI|2014|05|Palermo, Teatro Massimo: "Don Giovanni"|Palermo, Teatro Massimo|"Don Giovanni"|Wolfgang Amadeus Mozart
Selim Pascià|GABRIELE SAGONA|2012|05|Vicenza, Teatro Olimpico:"Il ratto dal serraglio"|Vicenza, Teatro Olimpico|"Il ratto dal serraglio"|Wolfgang Amadeus Mozart
Costanza|SANDRA PASTRANA|2012|05|Vicenza, Teatro Olimpico:"Il ratto dal serraglio"|Vicenza, Teatro Olimpico|"Il ratto dal serraglio"|Wolfgang Amadeus Mozart
Belmonte|FRANCESCO MARSIGLIA|2012|05|Vicenza, Teatro Olimpico:"Il ratto dal serraglio"|Vicenza, Teatro Olimpico|"Il ratto dal serraglio"|Wolfgang Amadeus Mozart
Bionda|TATIANA AGUIAR|2012|05|Vicenza, Teatro Olimpico:"Il ratto dal serraglio"|Vicenza, Teatro Olimpico|"Il ratto dal serraglio"|Wolfgang Amadeus Mozart
Pedrillo|CARLOS NATALE|2012|05|Vicenza, Teatro Olimpico:"Il ratto dal serraglio"|Vicenza, Teatro Olimpico|"Il ratto dal serraglio"|Wolfgang Amadeus Mozart
Osmino|FILIPPO MORACE|2012|05|Vicenza, Teatro Olimpico:"Il ratto dal serraglio"|Vicenza, Teatro Olimpico|"Il ratto dal serraglio"|Wolfgang Amadeus Mozart
Ciaccone|GIAMPIERO CICINO|2013|07|Non delude "l’Ambizione delusa", testamento comico di Leonardo Leo|-|-|Leonardo Leo
Foresto|CANDIDA GUIDA|2013|07|Non delude "l’Ambizione delusa", testamento comico di Leonardo Leo|-|-|Leonardo Leo
Delfina|FILOMENA DIODATI|2013|07|Non delude "l’Ambizione delusa", testamento comico di Leonardo Leo|-|-|Leonardo Leo
Laurina|ALESSIA MARTINA|2013|07|Non delude "l’Ambizione delusa", testamento comico di Leonardo Leo|-|-|Leonardo Leo
Lupino�|RICCARDO GAGLIARDI|2013|07|Non delude "l’Ambizione delusa", testamento comico di Leonardo Leo|-|-|Leonardo Leo
Silvio|FEDERICA CARNEVALE|2013|07|Non delude "l’Ambizione delusa", testamento comico di Leonardo Leo|-|-|Leonardo Leo
Cintia|CAROLINA LIPPO|2013|07|Non delude "l’Ambizione delusa", testamento comico di Leonardo Leo|-|-|Leonardo Leo
Mimì|JESSICA NUCCIO|2011|11|Lucca, Teatro del Giglio:"La Bohème"|Lucca, Teatro del Giglio|"La Bohème"|Giacomo Puccini
Musetta|MARIANGELA SICILIA|2011|11|Lucca, Teatro del Giglio:"La Bohème"|Lucca, Teatro del Giglio|"La Bohème"|Giacomo Puccini
Rodolfo|MARCELO PUENTE|2011|11|Lucca, Teatro del Giglio:"La Bohème"|Lucca, Teatro del Giglio|"La Bohème"|Giacomo Puccini
Marcello|SERGIO VITALE|2011|11|Lucca, Teatro del Giglio:"La Bohème"|Lucca, Teatro del Giglio|"La Bohème"|Giacomo Puccini
Schaunard|GABRIELE NANI|2011|11|Lucca, Teatro del Giglio:"La Bohème"|Lucca, Teatro del Giglio|"La Bohème"|Giacomo Puccini
Colline|NICOLAI KARNOLSKY|2011|11|Lucca, Teatro del Giglio:"La Bohème"|Lucca, Teatro del Giglio|"La Bohème"|Giacomo Puccini
Parpignol e Benoît|ANTONIO PANNUNZIO|2011|11|Lucca, Teatro del Giglio:"La Bohème"|Lucca, Teatro del Giglio|"La Bohème"|Giacomo Puccini
Alcidoro|ALESSANDRO CALAMAI|2011|11|Lucca, Teatro del Giglio:"La Bohème"|Lucca, Teatro del Giglio|"La Bohème"|Giacomo Puccini
Sergente dei doganieri|ANTONIO DELLA SANTA|2011|11|Lucca, Teatro del Giglio:"La Bohème"|Lucca, Teatro del Giglio|"La Bohème"|Giacomo Puccini
Matilde di Shabran|OLGA PERETYATKO|2012|08|Rossini Opera Festival: "Matilde di Shabran"|Rossini Opera Festival|"Matilde di Shabran"|Gioachino Rossini
Edoardo|ANNA GORYACHOVA|2012|08|Rossini Opera Festival: "Matilde di Shabran"|Rossini Opera Festival|"Matilde di Shabran"|Gioachino Rossini
Raimondo Lopez|MARCO FILIPPO ROMANO|2012|08|Rossini Opera Festival: "Matilde di Shabran"|Rossini Opera Festival|"Matilde di Shabran"|Gioachino Rossini
Ginardo|SIMON ORFILA|2012|08|Rossini Opera Festival: "Matilde di Shabran"|Rossini Opera Festival|"Matilde di Shabran"|Gioachino Rossini
Aliprando|NICOLA ALAIMO|2012|08|Rossini Opera Festival: "Matilde di Shabran"|Rossini Opera Festival|"Matilde di Shabran"|Gioachino Rossini
Isidoro|PAOLO BORDOGNA|2012|08|Rossini Opera Festival: "Matilde di Shabran"|Rossini Opera Festival|"Matilde di Shabran"|Gioachino Rossini
Contessa D&#8217;Arco|CHIARA CHIALLI|2012|08|Rossini Opera Festival: "Matilde di Shabran"|Rossini Opera Festival|"Matilde di Shabran"|Gioachino Rossini
Egoldo|GIORGIO MISSERI|2012|08|Rossini Opera Festival: "Matilde di Shabran"|Rossini Opera Festival|"Matilde di Shabran"|Gioachino Rossini
La vecchia Buryjovka|RENATE BEHLE|2015|02|"Jenufa" alla Staatsoper Stuttgart|Staatsoper Stuttgart|"Jenufa"|-
Laca Klemeň|PAVEL CERNOCH|2015|02|"Jenufa" alla Staatsoper Stuttgart|Staatsoper Stuttgart|"Jenufa"|-
Kostelnička Buryjovka|ANGELA DENOKE|2015|02|"Jenufa" alla Staatsoper Stuttgart|Staatsoper Stuttgart|"Jenufa"|-
Jenufa|REBECCA VON LIPINSKI|2015|02|"Jenufa" alla Staatsoper Stuttgart|Staatsoper Stuttgart|"Jenufa"|-
Stárek|MARK MUNKITTRICK|2015|02|"Jenufa" alla Staatsoper Stuttgart|Staatsoper Stuttgart|"Jenufa"|-
Il Giudice|MICHAEL EBBECKE|2015|02|"Jenufa" alla Staatsoper Stuttgart|Staatsoper Stuttgart|"Jenufa"|-
La Moglie del Giudice|MARIA THERESA ULLRICH|2015|02|"Jenufa" alla Staatsoper Stuttgart|Staatsoper Stuttgart|"Jenufa"|-
Karolka|LAURYNA BENDZIUNAITE|2015|02|"Jenufa" alla Staatsoper Stuttgart|Staatsoper Stuttgart|"Jenufa"|-
Barena|TALIA OR|2015|02|"Jenufa" alla Staatsoper Stuttgart|Staatsoper Stuttgart|"Jenufa"|-
Jano|YUKO KAKUTA|2015|02|"Jenufa" alla Staatsoper Stuttgart|Staatsoper Stuttgart|"Jenufa"|-
Ernani (Don Giovanni d’Aragona)|GUSTAVO PORTA|2015|10|Liegi, Opéra Royale de Wallonie: "Ernani"|Liegi, Opéra Royale de Wallonie|"Ernani"|Giuseppe Verdi
Don Carlo, re di Spagna|LIONEL LHOTE|2015|10|Liegi, Opéra Royale de Wallonie: "Ernani"|Liegi, Opéra Royale de Wallonie|"Ernani"|Giuseppe Verdi
Don Ruy Gomez de Silva, Grande di Spagna|ORLIN ANASTASSOV|2015|10|Liegi, Opéra Royale de Wallonie: "Ernani"|Liegi, Opéra Royale de Wallonie|"Ernani"|Giuseppe Verdi
