ERIC ANDER;Fnf Juden TORSTEN HOFMANN, HEINZ GHRIG, JAN JOS RAMIREZ, DANIEL KLUGE,
DOMINIC GROBE;Zwei Nazarener SHIGEO ISHINO,
GUILLAUME ANTOINE;Zwei Soldaten DAVID STEFFENS,
SIMON STRICKER;Ein Kappadozier
ESTHER DIERKES;Ein Sklave
VICTOR GARCA SIERRA;Il Re
SILVIA BELTRAMI;Amneris
CELLIA COSTEA;Aida
DARIO DI VIETRI;Radames
ABRAMO ROSALEN;Ramfis
IVAN INVERARDI;Amonasro
NESTOR LOSAN;Un Messaggero
SARA ROSSINI;Sacerdotessa
BRENDEN GUNNELL;Idomeneo
MONICA BACELLI;Idamante
EKATERINA SADOVNIKOVA;Ilia
MICHAELA KAUNE;Elettra
ANICIO ZORZI GIUSTINIANI;Arbace
KRYSTIAN ADAM;Gran Sacerdote di Nettuno
MICHAEL LEIBUNDGUT;La voce dellOracolo
SERSE;
JOS MARIA LO MONACO;Serse
HANNA HUSHR;Romilda
SONIA PRINA;Arsamene
KERSTIN AVEMO;Atalanta
IVONNE FUCHS;Amastre
CHRISTIAN SENN;Elviro
LUIGI DE DONATO;Ariodate
SERGIO ESCOBAR;Riccardo
DARIA MASIERO;Amelia
ANGELO VECCIA;Renato
ANNA MARIA CHIURI;Ulrica
SHOUSHIK BARSOUMIAN;Oscar
FRANCESCO MILANESE;Tom
MARIANO BUCCINO;Samuel
CARLO CHECCHI;Silvano
GIUSEPPE DISTEFANO;Un giudice/Un servo di Amelia
VIII ALEX ESPOSITO;Enrico
CARMELA REMIGIO;Anna Bolena
SOFIA SOLOVIY;Giovanna Seymour
GABRIELE SAGONA;Lord Rochefort
MAXIM MIRONOV;Lord Riccardo Percy
MANUELA CUSTER;Smeton
ALESSANDRO VIOLA;Sir Hervey
I VIRTUOSI ITALIANI;Orchestra
SILVIA PANTANI;Violetta Valry
EMANUELA GRASSI;Flora Bervoix
SELENE FIASCHI;Annina
ANGELO FIORE;Alfredo Grmont
RA HYUN KYU;Giorgio Grmont
FEDERICO BULLETTI;Gastone
ALESSANDRO CALAMAI;Il Barone Douphol
ALESSANDRO MARTINELLO;Il Marchese dObigny
VEIO TORCIGLIANI;Il dottor Grenvil
FEDERICO BULLETTI;Giuseppe
ANTONIO CANDIA;Un domestico
ALESSANDRO MARTINELLO;Il commissario
ANDREA MARMUGI;Un domestico
IVAN CIGNETTI;Danzatori DILETTA CENTONZE,
ANGELA NISI;Kristina
ROMINA TOMASONI;Nini
DAVIDE GIUSTI  GREGORY BONFATTI;Giovane Konrad
KRISTIAN LINDROOS;Giovane Henrik
ALFONSO ANTONIOZZI;Konrad
ROBERTO SCANDIUZZI;Henrik
INSUNG SIM;Sarastro
LEONARDO CORTELLAZZI;Tamino
ANDREA PATUCELLI;Oratore
ROMANO DAL ZOVO;Primo sacerdote / Secondo uomo corazzato
CRISTIANO OLIVIERI;Secondo sacerdote / Primo uomo corazzato
DANIELA CAPPIELLO;La Regina della Notte
EKATERINA BAKANOVA;Pamina
FRANCESCA SASSU;Prima damigella
ALESSIA NADIN;Seconda damigella
ELENA SERRA;Terza damigella
FEDERICO FIORIO;Primo fanciullo
STELLA CAPELLI;Secondo fanciullo
MARIA GIOIA;Terzo fanciullo
LAVINIA BINI;Una vecchia (Papagena)
CHRISTIAN SENN;Papageno
MARCELLO NARDIS;Monostato
VINCENT WOLFSTEINER;Tristan
ALEXEY BIRKUS;Knig Marke
CLAUDIA ITEN;Isolde
JOCHEN KUPFER;Kurwenal
