ALESSIO BIANCHINI|Un familiare di Nottingham,ROBERTO DEVEREUX|Genova, Teatro Carlo Felice, Stagione Lirica 2015/2016
DEOS|Mimi,ROBERTO DEVEREUX|Genova, Teatro Carlo Felice, Stagione Lirica 2015/2016
MARCO CARIA|Enrico Ashton,LUCIA DI LAMMERMOOR|Palermo, Teatro Massimo, Stagione Lirica 2016
ELENA MOSUC|Miss Lucia,LUCIA DI LAMMERMOOR|Palermo, Teatro Massimo, Stagione Lirica 2016
GIORGIO BERRUGI|Edgardo di Ravenswood,LUCIA DI LAMMERMOOR|Palermo, Teatro Massimo, Stagione Lirica 2016
LUCA TITTOTO|Raimondo Bidebant,LUCIA DI LAMMERMOOR|Palermo, Teatro Massimo, Stagione Lirica 2016
PATRIZIA GENTILE|Alisa,LUCIA DI LAMMERMOOR|Palermo, Teatro Massimo, Stagione Lirica 2016
EMANUELE DAGUANNO|Arturo,LUCIA DI LAMMERMOOR|Palermo, Teatro Massimo, Stagione Lirica 2016
FRANCESCO PITTARI|Normanno,LUCIA DI LAMMERMOOR|Palermo, Teatro Massimo, Stagione Lirica 2016
ROBERTO ARONICA|Don Jos,CARMEN|Teatro Comunale, Stagione dopera 2016
SIMONE ALBERGHINI|Escamillo,CARMEN|Teatro Comunale, Stagione dopera 2016
MAURIZIO LEONI|Le Dancare,CARMEN|Teatro Comunale, Stagione dopera 2016
PAOLO ANTOGNETTI|Le Remendado,CARMEN|Teatro Comunale, Stagione dopera 2016
NICOL CERIANI|Morals,CARMEN|Teatro Comunale, Stagione dopera 2016
MASSIMILIANO CATELLANI|Zuniga,CARMEN|Teatro Comunale, Stagione dopera 2016
VERONICA SIMEONI|Carmen,CARMEN|Teatro Comunale, Stagione dopera 2016
MARIA KATZARAVA|Micala,CARMEN|Teatro Comunale, Stagione dopera 2016
SONIA CIANI|Frasquita,CARMEN|Teatro Comunale, Stagione dopera 2016
