INGRID PERRUCHE,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
LARA NEUMANN,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
JEFFERY,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
CLMENTINE BOURGOIN,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
RMY MATHIEU,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
DAVID GHILARDI,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
THOPHILE ALEXANDRE,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
JRMIE DELVERT,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
PIERRE LEBON,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
ILDEBRANDO DARCANGELO/RICCARDO ZANELLATO,ATTILA
SIMONE PIAZZOLA,ATTILA
MARIA JOS SIRI,ATTILA
FABIO SARTORI,ATTILA
GIANLUCA FLORIS,ATTILA
ANTONIO DI MATTEO,ATTILA
LUCIA CIRILLO,IL TRIONFO DEL TEMPO E DEL DISINGANNO
MARTINA JANKOV,IL TRIONFO DEL TEMPO E DEL DISINGANNO
SARA MINGARDO,IL TRIONFO DEL TEMPO E DEL DISINGANNO
LEONARDO CORTELLAZZI,IL TRIONFO DEL TEMPO E DEL DISINGANNO
NICOLA ULIVIERI,LITALIANA IN ALGERI
DANIELA CAPPIELLO,LITALIANA IN ALGERI
VALERIA GIRARDELLO,LITALIANA IN ALGERI
GIULIO MASTROTOTARO,LITALIANA IN ALGERI
FRANCISCO BRITO,LITALIANA IN ALGERI
ALISSA KOLOSOVA,LITALIANA IN ALGERI
LORENZO REGAZZO,LITALIANA IN ALGERI
GIORGIO MISSERI,LA CENERENTOLA
VITO PRIANTE,LA CENERENTOLA
CARLO LEPORE,LA CENERENTOLA
DAMIANA MIZZI,LA CENERENTOLA
ANNUNZIATA VESTRI,LA CENERENTOLA
JOSE MARIA LO MONACO,LA CENERENTOLA
UGO GUAGLIARDO,LA CENERENTOLA
MARKUS WERBA,LA VEDOVA ALLEGRA
MARIA PIA PISCITELLI,LA VEDOVA ALLEGRA
BRUNO PRATIC,LA VEDOVA ALLEGRA
VALENTINA FARCAS,LA VEDOVA ALLEGRA
BERNHARD BERCHTOLD,LA VEDOVA ALLEGRA
DOMENICO COLAIANNI,LA VEDOVA ALLEGRA
ENZO PERONI,LA VEDOVA ALLEGRA
MATTEO FERRARA,LA VEDOVA ALLEGRA
FRANCESCA MARTINI,LA VEDOVA ALLEGRA
DONATO DI GIOIA,LA VEDOVA ALLEGRA
MIRIAM ARTIACO,LA VEDOVA ALLEGRA
DARIO GIORGEL,LA VEDOVA ALLEGRA
LARA LAGNI,LA VEDOVA ALLEGRA
PEPPE BARRA,LA VEDOVA ALLEGRA
CHRISTIAN VOIGT,GTTERDMMERUNG (Crepuscolo degli di)
ERIC GREENE,GTTERDMMERUNG (Crepuscolo degli di)
SERGEI LEIFERKUS,GTTERDMMERUNG (Crepuscolo degli di)
MATS ALMGREN,GTTERDMMERUNG (Crepuscolo degli di)
IRNE THEORIN,GTTERDMMERUNG (Crepuscolo degli di)
BIGGS,GTTERDMMERUNG (Crepuscolo degli di)
VIKTORIA VIZIN,GTTERDMMERUNG (Crepuscolo degli di)
ANNETTE JAHNS,GTTERDMMERUNG (Crepuscolo degli di)
CHRISTINE KNORREN,GTTERDMMERUNG (Crepuscolo degli di)
STEPHANIE CORLEY,GTTERDMMERUNG (Crepuscolo degli di)
RENE TATUM,GTTERDMMERUNG (Crepuscolo degli di)
ANTONIO BARBAGALLO,GTTERDMMERUNG (Crepuscolo degli di)
CARLO MORGANTE,GTTERDMMERUNG (Crepuscolo degli di)
MIMI,GTTERDMMERUNG (Crepuscolo degli di)
PIETRO ADAINI,LA CENERENTOLA
MODESTAS SEDLEVICIUS,LA CENERENTOLA
GIOVANNI ROMEO,LA CENERENTOLA
CECILIA LEE,LA CENERENTOLA
CHIARA TIROTTA,LA CENERENTOLA
AYA WAKIZONO,LA CENERENTOLA
SIMON LIM,LA CENERENTOLA
PARTENOPE,Auditorio Nacional de Msica de Madrid
KARINA GAUVIN,Auditorio Nacional de Msica de Madrid
LAWRENCE ZAZZO,Auditorio Nacional de Msica de Madrid
JOHN MARK AINSLEY,Auditorio Nacional de Msica de Madrid
EMKE BARATH,Auditorio Nacional de Msica de Madrid
KATE ALDRICH,Auditorio Nacional de Msica de Madrid
VICTOR SICARD,Auditorio Nacional de Msica de Madrid
MARIA TOLEDO,EL AMOR BRUJO
LOS MAJOS ENAMORADOS,EL AMOR BRUJO
GIUSEPPINA PIUNTI,EL AMOR BRUJO
ANDEKA GORROTXATEGI,EL AMOR BRUJO
CESAR SAN MARTIN,EL AMOR BRUJO
ANNA MARIA CHIURI,EL AMOR BRUJO
PAOLO ANTOGNETTI,EL AMOR BRUJO
ROBERTO DE CANDIA,LE NOZZE DI FIGARO
EVA MEI,LE NOZZE DI FIGARO
LAURA GIORDANO,LE NOZZE DI FIGARO
SIMON ORFILA,LE NOZZE DI FIGARO
LAURA POLVERELLI,LE NOZZE DI FIGARO
MARIGONA QERKEZI,LE NOZZE DI FIGARO
FRANCESCO MILANESE,LE NOZZE DI FIGARO
MATTEO MACCHIONI,LE NOZZE DI FIGARO
UGO TARQUINI,LE NOZZE DI FIGARO
GIULIA BOLCATO,LE NOZZE DI FIGARO
CARLO CHECCHI,LE NOZZE DI FIGARO
MARIA KATZARAVA,LA TRAVIATA
ALICE MARINI,LA TRAVIATA
GIOVANNA DONADINI,LA TRAVIATA
PAOLO FANALE,LA TRAVIATA
FRANCO VASSALLO,LA TRAVIATA
RODRIGO TROSINO,LA TRAVIATA
WILLIAM CORR,LA TRAVIATA
GIANLUCA LENTINI,LA TRAVIATA
MATTEO FERRARA,LA TRAVIATA
ANTONIO VITALI,LA TRAVIATA
MIRKO QUARELLO,LA TRAVIATA
FEDERICO CAVARZAN,LA TRAVIATA
SARAH BARATTA,LAMICO FRITZ
IVAN DEFABIANI,LAMICO FRITZ
NICOLE BRANDOLINO,LAMICO FRITZ
GIOVANNI TIRALONGO,LAMICO FRITZ
ALEANDRO MARIANI,LAMICO FRITZ
MARIANO BUCCINO,LAMICO FRITZ
MARTA MARI,LAMICO FRITZ
ANDREAS BAUER,DER FLIEGENDE HOLLNDER
RICARDA MERBETH,DER FLIEGENDE HOLLNDER
TORSTEN KERL,DER FLIEGENDE HOLLNDER
PILAR VZQUEZ,DER FLIEGENDE HOLLNDER
DMITRY IVANCHEY,DER FLIEGENDE HOLLNDER
BRYN TERFEL,DER FLIEGENDE HOLLNDER
ANNA NETREBKO,GIOVANNA DARCO
VII FRANCESCO MELI,GIOVANNA DARCO
CARLOS LVAREZ,GIOVANNA DARCO
DMITRY BELOSELSKIY,GIOVANNA DARCO
MICHELE MAURO,GIOVANNA DARCO
STEFANO SECCO,STIFFELIO
JULIANNA DI GIACOMO,STIFFELIO
DIMITRI PLATANIAS,STIFFELIO
FRANCESCO MARSIGLIA,STIFFELIO
SIMON LIM,STIFFELIO
CRISTIANO OLIVIERI,STIFFELIO
SOFIA KOBERIDZE,STIFFELIO
CHRISTIAN VOIGT,SIEGFRIED
PETER BRONDER,SIEGFRIED
THOMAS GAZHELI,SIEGFRIED
SERGEI LEIFERKUS,SIEGFRIED
MICHAEL EDER,SIEGFRIED
JUDIT KUTASI,SIEGFRIED
MEAGAN MILLER,SIEGFRIED
DEBORAH LEONETTI,SIEGFRIED
ROCIO IGNACIO,LELISIR DAMORE
FABRIZIO PAESANO,LELISIR DAMORE
VITTORIO PRATO,LELISIR DAMORE
MARCO FILIPPO ROMANO,LELISIR DAMORE
ELENA BORIN,LELISIR DAMORE
FILIPPO MINECCIA,CATONE
RICCARDO NOVARO,CATONE
LUCIA CIRILLO,CATONE
KRISTINA HAMMARSTRM,CATONE
ROBERTA INVERNIZZI,CATONE
CARLO CIGNI,LA FORZA DEL DESTINO
KYUNG RIM,LA FORZA DEL DESTINO
DALIBOR JENIS,LA FORZA DEL DESTINO
WALTER FRACCARO,LA FORZA DEL DESTINO
CHIARA AMAR,LA FORZA DEL DESTINO
SIMON LIM,LA FORZA DEL DESTINO
GEZIM MYSHKETA,LA FORZA DEL DESTINO
MILENA JOSIPOVIC,LA FORZA DEL DESTINO
FRANCESCO PITTARI,LA FORZA DEL DESTINO
GIANLUCA LENTINI,LA FORZA DEL DESTINO
VALERIA ESPOSITO,LA VEDOVA ALLEGRA
ARMANDO ARIOSTINI,LA VEDOVA ALLEGRA
FRANCESCA TASSINARI,LA VEDOVA ALLEGRA
ALESSANDRO SAFINA,LA VEDOVA ALLEGRA
CHRISTIAN COLLIA,LA VEDOVA ALLEGRA
ALEX MARTINI,LA VEDOVA ALLEGRA
ENRICO GIOVAGNOLI,LA VEDOVA ALLEGRA
ENZO BOCCANERA,LA VEDOVA ALLEGRA
ALESSANDRO PUCCI,LA VEDOVA ALLEGRA
