MIRIAM ARTIACO,Olga|LA VEDOVA ALLEGRA
DARIO GIORGEL,Pritschitch|LA VEDOVA ALLEGRA
LARA LAGNI,Praskowia|LA VEDOVA ALLEGRA
PEPPE BARRA,Njegus|LA VEDOVA ALLEGRA
CHRISTIAN VOIGT,Siegfried|GTTERDMMERUNG (Crepuscolo degli di)
ERIC GREENE,Gunther|GTTERDMMERUNG (Crepuscolo degli di)
SERGEI LEIFERKUS,Alberich|GTTERDMMERUNG (Crepuscolo degli di)
MATS ALMGREN,Hagen|GTTERDMMERUNG (Crepuscolo degli di)
IRNE THEORIN,Brnnhilde|GTTERDMMERUNG (Crepuscolo degli di)
BIGGS,Gutrune ELIZABETH BLANCKE-|GTTERDMMERUNG (Crepuscolo degli di)
VIKTORIA VIZIN,Waltraute|GTTERDMMERUNG (Crepuscolo degli di)
ANNETTE JAHNS,Erste Norn|GTTERDMMERUNG (Crepuscolo degli di)
CHRISTINE KNORREN,Zweite Norn/ Wellgunde|GTTERDMMERUNG (Crepuscolo degli di)
STEPHANIE CORLEY,Dritte Norn / Woglinde|GTTERDMMERUNG (Crepuscolo degli di)
RENE TATUM,Flosshilde|GTTERDMMERUNG (Crepuscolo degli di)
ANTONIO BARBAGALLO,Ein Mann|GTTERDMMERUNG (Crepuscolo degli di)
CARLO MORGANTE,Ein anderer Mann|GTTERDMMERUNG (Crepuscolo degli di)
MIMI,|GTTERDMMERUNG (Crepuscolo degli di)
PIETRO ADAINI,Don Ramiro|LA CENERENTOLA
MODESTAS SEDLEVICIUS,Dandini|LA CENERENTOLA
GIOVANNI ROMEO,Don Magnifico|LA CENERENTOLA
CECILIA LEE,Clorinda|LA CENERENTOLA
CHIARA TIROTTA,Tisbe|LA CENERENTOLA
AYA WAKIZONO,Angelina, detta Cenerentola|LA CENERENTOLA
SIMON LIM,Alidoro|LA CENERENTOLA
PARTENOPE,|Auditorio Nacional de Msica de Madrid
KARINA GAUVIN,Partenope|Auditorio Nacional de Msica de Madrid
LAWRENCE ZAZZO,Arsace|Auditorio Nacional de Msica de Madrid
JOHN MARK AINSLEY,Emilio|Auditorio Nacional de Msica de Madrid
EMKE BARATH,Armindo|Auditorio Nacional de Msica de Madrid
KATE ALDRICH,Rosmira|Auditorio Nacional de Msica de Madrid
VICTOR SICARD,Ormonte|Auditorio Nacional de Msica de Madrid
MARIA TOLEDO,Cantaora e bailaora|EL AMOR BRUJO
LOS MAJOS ENAMORADOS,GOYESCAS o|EL AMOR BRUJO
GIUSEPPINA PIUNTI,Rosario|EL AMOR BRUJO
ANDEKA GORROTXATEGI,Fernando|EL AMOR BRUJO
CESAR SAN MARTIN,Paquiro|EL AMOR BRUJO
ANNA MARIA CHIURI,Pepa|EL AMOR BRUJO
PAOLO ANTOGNETTI,Una voce|EL AMOR BRUJO
ROBERTO DE CANDIA,Il conte di Almaviva|LE NOZZE DI FIGARO
EVA MEI,La contessa di Almaviva|LE NOZZE DI FIGARO
LAURA GIORDANO,Susanna|LE NOZZE DI FIGARO
SIMON ORFILA,Figaro|LE NOZZE DI FIGARO
LAURA POLVERELLI,Cherubino|LE NOZZE DI FIGARO
MARIGONA QERKEZI,Marcellina|LE NOZZE DI FIGARO
FRANCESCO MILANESE,Don Bartolo|LE NOZZE DI FIGARO
MATTEO MACCHIONI,Don Basilio|LE NOZZE DI FIGARO
UGO TARQUINI,Don Curzio|LE NOZZE DI FIGARO
GIULIA BOLCATO,Barbarina|LE NOZZE DI FIGARO
CARLO CHECCHI,Antonio|LE NOZZE DI FIGARO
MARIA KATZARAVA,Violetta Valery|LA TRAVIATA
ALICE MARINI,Flora Bervoix|LA TRAVIATA
GIOVANNA DONADINI,Annina|LA TRAVIATA
PAOLO FANALE,Alfredo Germont|LA TRAVIATA
FRANCO VASSALLO,Giorgio Germont|LA TRAVIATA
RODRIGO TROSINO,Gastone / Visconte di Letorires|LA TRAVIATA
WILLIAM CORR,Barone Douphol|LA TRAVIATA
GIANLUCA LENTINI,Dottor de Grenvil|LA TRAVIATA
MATTEO FERRARA,Marchese dObigny|LA TRAVIATA
ANTONIO VITALI,Giuseppe, servo di violetta|LA TRAVIATA
MIRKO QUARELLO,Un domestico di Flora|LA TRAVIATA
FEDERICO CAVARZAN,Commissionario|LA TRAVIATA
SARAH BARATTA,Suzel|LAMICO FRITZ
IVAN DEFABIANI,Fritz Kobus|LAMICO FRITZ
NICOLE BRANDOLINO,Beppe lo zingaro|LAMICO FRITZ
GIOVANNI TIRALONGO,David il rabbino|LAMICO FRITZ
ALEANDRO MARIANI,Federico|LAMICO FRITZ
