475|GIORGIO TRUCCO|"Falstaff"|"Il Trovatore"|"La Bohéme"|"La Traviata"|"Maometto II"|"Norma"|Benoit|Cristina Mazzavillani Muti|Daniele Rustioni|Dottor Cajus|E Cristina disse|Flavio|Gastone, visconte di Letorieres|Giacomo Puccini|Gioachino Rossini|Giuseppe Verdi|Nicola Paszkowski|Novara, Teatro Coccia|Opera di Roma|Pavia, Teatro Fraschini|Pier Luigi Pizzi|Pierpaolo Pacini|Ravenna, Teatro Alighieri|Reggio Emilia, Teatro Valli|Roberto Abbado|Ruiz|Selimo|Teatro delle Muse di Ancona|Un Messo|Vincenzo Bellini|“ Facciamo Trovatore… ”
305|FRANCESCO  DEMURO|"L'elisir d'amore"|Gaetano Donizetti|Luciano Acocella|Nemorino|Riccardo Canessa|Teatro Filarmonico di Verona
586|MAGDALENA ANNA  HOFFMANN|"Lulu"|-|Daniele Gatti|Peter Stein|Teatro alla Scala|Uno studente/Gromm
1060|ALESSIO COLAUTTI|"La Vedova Allegra"|Bogdanowitsch|Federico Tiezzi|Franz Lehar|Julian Kovatchev|Verona, Teatro Filarmonico
2833|FERNANDO RADÓ|"Boris Godunov"|-|David Mcvicar|Giuseppe Verdi|Hartmut Haenchen|Il conte di Monterone|Il dottor Grenvil|Johan Simons|Madrid, Teatro Real|Mitiushka|Nicola Luisotti,Justin Way|Renato Palumbo|Teatro Real di  Madrid|Teatro Real di Madrid|“La Traviata”|“Rigoletto”
1584|LEONARDO NEIVA|"Ariadne auf Naxos"|"Rienzi"|-|Cecco del Vecchio|Il professore di musica|Jorge Lavelli|Pinchas Steinberg|Rani Calderón|Richard Strauss|Richard Wagner|Santiago del Cile, Teatro Municipal|Toulouse, Théâtre du Capitole
1651|MARIA LUISA TAMEZ|"Le nozze di Figaro"|Carlos García Ruiz|Cuernavaca, Morelos|Marcellina|Wolfgang Amadeus Mozart|Óscar Flores
1696|SALLY MATTHEWS|"Daphne"|"Peter Grimes"|"The turn of the screw"|-|Antonio Pappano|Benjamin Britten|Bruxelles, Théâtre  La Monnaie|Cornelius Meister|Daphne|Ellen Orford|Guy Joostens|La Governante|Lothar Koenigs|Richard Strauss|Robert Carsen|Roma, Accademia Nazionale di Santa Cecilia|Theater an der Wien
492|MARIA LAURA  MARTORANA|"Il mondo alla rovescia"|Antonio Saliero|Federico Maria Sardelli|La Marchesa|Marco Gandini|Verona, Teatro Filarmonico
2719|RAFFAELE COSTANTINI|"Ciro in Babilonia"|"Il barbiere di Siviglia"|-|Daniello|Davide Livermore|Francesco Micheli|Gioachino Rossini|Rossini Opera Festival|Teatro Comunale di Bologna|Un ufficiale|Will Crutchfield
3575|MATIAS ENOCH ENDREK|"The Fairy Queen"|Federico Bardazzi|Firenze, Teatro Goldoni|Henry Purcell|Lysander /Snug / Lion|Vivien Hewitt
4658|MICHELE PATTI|"Rigoletto"|Alessio Pizzech|Busseto, Teatro Verdi|Fabrizio Cassi|Giuseppe Verdi|Marullo
4648|LEO PAUL CHIAROT|"Il Trittico" di Giacomo Puccini|Damiano Michieletto|Daniele Rustioni|Giacomo Puccini|Pinellino|Roma, Teatro dell'Opera
171|ANGELO VILLARI|"Adriana Lecouvreur"|"Aida"|"Il Corsaro"|"Lucia di Lammermoor"|"Madama Butterfly"|Carlo Goldstein|Carlo Montanaro|Denis Krief|Elisabetta Marini|F.B. Pinkerton|Fabio Ceresa|Festival Verdi 2008|Francesco Cilea|Francesco Lanzillotta|Gaetano Donizetti|Giacomo Puccini|Giulio Ciabatti|Giuseppe Finzi|Giuseppe Verdi|Ivan Stefanutti|Lamberto Pugelli|Maurizio|Normanno|Parma, Teatro Regio|Pinkerton|Regio di Parma|Stefano Ranzani|Teatro Massimo di Palermo|Teatro Petruzzelli di Bari|Teatro Sociale di Como|Un eunuco/uno schiavo|Un messaggero
2561|MARKO MIMIKA|"Il Trovatore"|-|Andrea Battistoni|Deutsche Oper Berlin|Ferrando|Giuseppe Verdi
3681|ROGER PADULLÈS|-|Peter Brook|Tamino
2754|MONICA PICCINNI|-|Claudio Monteverdi|La Fortuna / Minerva|Rinaldo Alessandrini
571|ELENA  MONTI|"Sogno di una notte di mezza estate"|Felix Mendelssohn-bartholdy|Regio di Parma|Soprano|Walter Le Moli|Yuri Temirkanov
3287|KRISTIAN BENEDIKT|"Otello"|"Tosca"|Fabio Mastrangelo|Giacomo Puccini|Giuseppe Verdi|Hugo De Ana|Mario Cavaradossi|Maurizio Barbacini|Modena, Teatro Comunale|Otello|Pier Francesco Maestrini|Rovigo, Teatro Sociale
3476|GLORIA DORLIGUZZO|-|Daniel Cohen|Maria|Nikos Lagousakos
2204|PAUL GAY|"Manon"|"Rigoletto"|-|Coline Serreau|Daniele Callegari|Evelino Pidò|Giuseppe Verdi|Golaud|Jules Massenet|Juraj Valčuha|Jérôme Savary|Le Conte Des Grieux|Monterone|Parigi, Opéra Bastille|Torino|“Pelléas et Mélisande”  dell’OSN RAI
3361|KATARZYNA MEDLARSKA|"The Rape of Lucretia"|Benjamin Britten|Coro Femminile|Nenad Glavan|Paolo Vero|Trieste, Teatro Verdi
785|MARTINA SERAFIN|"Le nozze di Figaro"|"Tosca"|"Turandot"|Arena Opera Festival|Arena di Verona|Contessa  Almaviva|Daniel Oren|Elisabetta di Valois|Fabio Luisi|Firenze, Teatro Comunale|Floria Tosca|Franco Zeffirelli|Giacomo Puccini|Giuseppe Verdi|Hugo De Ana|Ian Judge|La Principessa Turandot|Los Angeles|Marco Armiliato,Marco Tonini|Mario Pontiggia|Milano, Teatro alla Scala|Pier Luigi Pizzi|Placido Domingo|Renato Palumbo|Roma, Terme di Caracalla|Stéphane Braunschweig|Tosca|Wolfgang Amadeus Mozart|“Don Carlo”
598|TAMAR  IVERI|"Simon Boccanegra"|Daniele Callegari|Giorgio Gallione|Giuseppe Verdi|Maria Boccanegra (Amelia Grimaldi)|Regio di Parma
3823|ANITA MAIOCCO|"Eine florentinische tragödie/Gianni Schicchi"|"Tosca"|Alexander Zemlinsky,Giacomo Puccini|Gherardino|Giacomo Puccini|Jean-louis Grinda|Renato Palumbo|Teatro Regio|Torino, Teatro Regio|Un pastorello|Vittorio Borrelli
4114|MAKSIM ASKENOV|"Rusalka"|Antonìn Dvoràk|Denis Krief|Eivind Gullberg Jensen|Principe|Teatro dell'Opera di Roma
263|FRANCESCO MARSIGLIA|"Don Giovanni"|"Il Barbiere di Siviglia"|"Il barbiere di Siviglia"|"Il furioso all'isola di San Domingo"|"La donna serpente" di Alfredo Casella|"La rondine"|"La vedova allegra"|"Lucia di Lammermoor"|"Stiffelio"|Alditrùf|Alessandro De Marchi|Alessandro D’agostini|Alfredo Casella|Arturo Cirillo|Bergamo Musica Festival|Bergamo, Teatro Donizetti|Bruno Berger-gorski|Camille de Rossillon|Christoph Campestrini|Clistene|Damiano Michieletto|Daniele Rustioni|Denis Krief|Don Ottavio|Elena Mosuc|Fernando|Francesco Esposito|Franz Lehár|Gaetano Donizetti|Giacomo Puccini|Gianandrea Noseda|Gino Zampieri|Gioachino Rossini|Giovanni Battista Pergolesi|Giovanni Di Stefano|Giuseppe Verdi|Hugo De Ana|Il Conte d’Almaviva|Jari Hämäläinen|Johannes Weigand|Lord Arturo Bucklaw|Lucca, Teatro del Giglio|Massimiliano Stefanelli|Opera di Firenze|Prunier|Raffaele|Regio di Parma|Roberto De Simone|Roberto De Simone interpreta Pergolesi|Stefano Ranzani|Teatro Regio di Torino|Teatro San Carlo|Teatro la Fenice di Venezia|Torino, Teatro Regio|Vittorio Borrelli|Wolfgang Amadeus Mozart
2750|ELENA BISCUOLA|-|Claudio Monteverdi|Ericlea|Rinaldo Alessandrini
4101|FLORIAN HOFFMANN|"Fidelio"|Daniel Barenboim|Deborah Warner|Jaquino|Ludwig Van Beethoven|Milano, Teatro alla Scala
890|ELINA GARANCA|"Carmen"|Carmen|Edward Gardner|Georges Bizet|New York, Metropolitan Opera|Richard Eyre
4264|GRAZIANO DE PACE|"Madama Butterfly"|Fabio Ceresa|Giacomo Puccini|Giuseppe Finzi|Teatro Petruzzelli di Bari|Yakusidè
3162|JOSÉ ANTONIO GARCÍA|Don Giovanni al Teatro Regio di Torino|Il Commendatore|Michele Placido|Saverio Santoliquido,Christopher Hogwood|Wolfgang Amadeus Mozart|«L’affar non può andar meglio»
3871|SILVIA HABLOWETZ|"Elektra"|Dritte Magd|Maestro Del Coro|Patrice Ch|Richard Strauss|Teatro alla Scala di Milano
4510|DEBORAH LEONETTI|"Siegfried"|-|Graham Vick|Stefan Anton Reck|Stimme eines Waldvogels|Teatro Massimo di Palermo
4543|RUPERT ENTICKNAP|"L'Opera Seria"|Bruxelles, Théâtre La Monnaie|Caverna|Florian Leopold Gassmann|Patrick Kinmonth|René Jacobs
417|JIHAN  SHIN|"Idomeneo"|Il messaggero|Luc Bondy|Milano, Teatro alla Scala|Myung Whun Chung|Wolfgang Amadeus Mozart
2441|DEBORAH POLASKI|"Lulu"|Alban Berg|Andrea Breth|Daniel Barenboim|Gräfin Geschwitz|Staatsoper Berlin
4564|MANUEL AMATI|"L'occasione fa ladro"|"Rigoletto"|Alessandro D’agostini|Alessio Pizzech|Andrea Cigni|Busseto, Teatro Verdi|Conte Alberto|Fabrizio Cassi|Gioachino Rossini|Giuseppe Verdi|Matteo Borsa|Parma, Teatro Regio
4448|ANTONIO DE LISIO|"La Traviata"|Ferzan Ozpetek|Giuseppe Verdi|Napoli, Teatro di San Carlo|Nello Santi|Un domestico
3655|ARTUR RUCIŃSKI|"Falstaff"|Daniele Rustioni|Ford|Giuseppe Verdi|Luca Ronconi|Petruzzelli di Bari
2612|DAVEDA KARANAS|Béla Bartók|Dittico Bartók|Jo Kanamori|Judit|Maggio Musicale Fiorentino|Zsolt Hamar
1867|SOPHIE GORDELADZE|"Die Zauberflöte"|"Il campanello" e "Gianni Schicchi"|Daniele Abbado|Genova, Teatro Carlo Felice|Giacomo Puccini,Gaetano Donizetti|Johannes Wildner|Lauretta|Papagena|Rolando Panerai|Valerio Galli|Wolfgang Amadeus Mozart
2385|SIBYLLA DUFFE|"Die Zauberflote"|David Mc Vicar|Erik Nielsen|Opera di Roma|Papagena|Wolfgang Amadeus Mozart
1156|PATRIZIA PATELMO|Giulio Ciabatti|Maurizio Arena|Onore e morte nella "Cavalleria rusticana" e nei "Pagliacci" di nuovo insieme|Pietro Mascagni|Santuzza|Teatro Massimo Bellini di Catania
4047|MIRELLA DI VITA|"La rondine"|"La traviata"|Casciana Terme|Flora Bervoix|Giacomo Puccini|Gino Zampieri|Giuseppe Verdi|Lucca, Teatro del Giglio|Massimiliano Stefanelli|Modena, Teatro Comunale|Renato Bonajuto|Sartoria Teatrale Bianchi, Milano|Yvette
1194|ANDREA CONCETTI|"Così fan tutte"|"Don Giovanni"|"I due Foscari"|"L'elisir d'amore"|"L'incoronazione di Poppea"|"La Bohème"|"L’heure espagnole" e "L’Enfant et les Sortilèges"|-|Bologna, Teatro Comunale|Claudio Monteverdi|Colline|Don Alfonso|Don Inigo|Enrico Castiglione|Francesco Lanzillotta|Francesco Pasqualetti|Gaetano Donizetti|Giacomo Puccini|Giuseppe Verdi|Graham Vick|Halvis Hermanis|Il Dottor Dulcamara, medico ambulante|Jacopo Loredano|José Luis Gomez-rios|Le Fauteuil / Un Arbre|Leo Muscato|Leporello|Luciano Cannito|Macerata Opera Festival|Macerata, Teatro Lauro Rossi|Maurice Ravel|Michele Mariotti|Milano, Teatro alla Scala|Paolo Arrivabeni|Pier Luigi Pizzi|Riccardo Frizza|Rinaldo Alessandrini|Robert Wilson|Saverio Marconi|Seneca|Tamás Pál|Teatro Massimo di Palermo|Teatro Sociale di Como|Teatro Verdi di Pisa|Teatro della Fortuna di Fano|Wolfgang Amadeus Mozart|Yves Abel
768|MEREDITH HANSEN|"Fidelio"|Boston Opera|Gil Rose|Ludwig Van Beethoven|Marzelline|Thaddeus Strassberger
4296|ALBERTO GALLO|"Il barbiere di Siviglia"|Figaro|Gioachino Rossini|Giorgio Bagnoli|Lorenzo Tazzieri|Rovereto, Teatro Zandonai
514|GIOVANNA  DONADINI|"Il Barbiere di Siviglia"|Bepi Morassi|Berta|Carnevale di Venezia|Daniele Rustioni|Gioachino Rossini|Il "Barbiere" di Morassi|Malibran|Stefano Rabaglia
1184|ANA MAKSUDOVA|"Nabucco"|Alicante, Teatro Principal|Fenena|Giuseppe Verdi|Igor Ivanov|Vladimir Vrublvskiy
2077|GABRIELLE PHILIPONET|"La Bohème"|"Le Saphir" di Félicien David|-|Félicien David|Giacomo Puccini|Hermine|Jean-louis Pichon|Mark Shanahan|Musetta|Opéra de Marseille|Venezia
3190|VALENTINA DI COLA|"Il Naso"|Alejo Perez|Dmitrij Šostakovič|Opera di Roma|Peter Stein|Una vecchia dama nobile
2196|SOPHIE PONDJICLIS|"La Chartreuse de Parme"|Henri Sauguet|Lawrence Foster|Opéra de Marseille|Renée Auphan|Théodolinde
1258|SALVO VINCI|"We Will Rock You"|-|Galileo|Maurizio Colombi|Trieste, Politeama Rossetti
2254|CARLO DI CRISTOFARO|"Boris Godunov"|Cernikovskij|George Pehlivanian|Hugo De Ana|Modest Musorgskij|Teatro Massimo di Palermo
3677|BETSABÉE HAAS|-|Papagena|Peter Brook
335|ARIANNA  BALLOTTA|"Don Pasquale"|Alfonso Antoniozzi|Comunale di Bologna|Leonardo Vordoni|Norina
1576|RACHELE STANISCI|"Attila"|"Iris"|"Turandot"|Andrea Battistoni|Federico Tiezzi|Georges Lavaudant|Giacomo Puccini|Gianluca Martinenghi|Giuseppe Verdi|Iris|Liù|Marcello Mottadelli|Odabella figlia del signore d'Aquileja|Palermo, Teatro di Verdura|Pietro Mascagni|Verona, Teatro Filarmonico|Willy Landin
4298|EDORDO MILLETTI|"Il barbiere di Siviglia"|Gioachino Rossini|Giorgio Bagnoli|Il Conte d’Almaviva|Lorenzo Tazzieri|Rovereto, Teatro Zandonai
1430|STUART SKELTON|"Parsifal"|"Wozzeck"|-|Charles Tim Buck,Asher Fisch|Claus Guth|Il Tamburmaggiore|James Levine|Mark Lamos|Metropolitan Opera|Mikko Franck|Parsifal|Seattle|Siegmund|Stephen Wadsworth|Zurigo,Opernhaus|un "Ring" che avrebbe reso Wagner orgoglioso
