PATRIZIO SAUDELLI;Secondo conoscente di Kovalv|NOS (Il Naso);1
PHILIP HORST;Ostasio|FRANCESCA DA RIMINI;1
MARINELLA CRESPI;Their governess|DEATH IN VENICE (Morte a Venezia);1
PTER BALCZ;Tom Rakewell|THE RAKES PROGRESS;1
BRUNO PRATIC;Il Barone di Trombonok|IL VIAGGIO A REIMS;1
ZIYAN ATFEH;Il conte di Monterone|RIGOLETTO;1
ARMAZ DARASHVILI;Il Carceriere/Grande Inquisitore|RISORGIMENTO!;1
ELISABETH MULLER;Pamina  HANNA-|DIE ZAUBERFLTE (Il flauto magico);1
DARIO PROLA;Messaggero|AIDA;1
FRANCESCO VERNA;Rambaldo|LA RONDINE;1
RAFFAELLA RIELLO;Seconda ragazza|LE NOZZE DI FIGARO;1
MARAT GALI;Lionia|LA CERISAIE (Il giardino dei ciliegi);1
VITTORIO GRIGOLO;Romo|ROMO ET JULIETTE;1
ROBERTO TAGLIAVINI;Elmiro Barberigo|OTELLO OSSIA IL MORO DI VENEZIA;1
GABRIELE MUNAO;Gastone|LA TRAVIATA;1
PAOLA VALENTINA MOLINARI;Ninetta, cameriera|LA FINTA SEMPLICE;1
VITALIJ KOWALJOW;Zaccaria|NABUCCO;2
ARTUR RUCINSKI;Il Conte di Luna|IL TROVATORE;1
GIOVANNI TRISTACCI;Due guardie|MANON Opra comique in cinque atti su libretto di Henri Meilhac e Philippe Gille,;1
NICOLA ULIVIERI;Basilio|IL BARBIERE DI SIVIGLIA;1
STEFANIA BONFADELLI;Carolina|IL MATRIMONIO SEGRETO;1
GIAN PIERO BARATTERO;Un usciere di Corte|RIGOLETTO;1
NATASCHA PETRINSKY;Hippolyta, Regina delle Amazzoni|A MIDSUMMER NIGHTS DREAM;1
GEMMA BERTAGNOLLI;Il Piacere,Clito,La Fama,Una nereiede|LA VIRTU DE STRALI DAMORE;1
ELENA ZILIO;Mamma Lucia|PAGLIACCI;1
GABRIELE MANGIONE;Ismaele|NABUCCO;2
GEZIM MYSHKETA;Escamillo|CARMEN;1
FABRIZIO BEGGI;Alcindoro|LA BOHME;1
SHALVA MUKERIA;Il Duca di Mantova|RIGOLETTO;1
LUCA GRASSI;Silvio|PAGLIACCI;1
VINCENTE OMBUENA;Il timoniere di Daland|DER FLIEGENDE HOLLNDER;1
SIMON LIM;Ratcliffe|BILLY BUDD;2
ALEX ESPOSITO;Papageno|DIE ZAUBERFLTE (Il Flauto magico);1
MARK MUNKITTRICK;Cesare Angelotti|TOSCA;1
MAXIM MIKHAILOV;Varlaam|BORIS GODUNOV;1
FABRIZIO BEGGI;Lord Gualtiero Valton|I PURITANI;1
MARCO BERTI;Mario Cavaradossi|TOSCA;2
ABRAMO ROSALEN;Il Commendatore / Masetto|DON GIOVANNI;1
MARIO CASSI;Lord Enrico Ashton|LUCIA DI LAMMERMOOR;2
DIETRICH HENSCHEL;Roland|FIERRABRAS;1
BRUNO PRATICO;Dulcamara|LELISIR DAMORE;1
JOSEP MQUEL RAMN;Hombre segundo / Caballo blanco primero / Centurin|EL PBLICO. PERA BAJO LA ARENA;2
STEFANIA ROSAI;|ELEKTRA;1
VIKTORIJA PREOBRAENSKAJA;Pelagia Podtoina|NOS (IL NASO);2
IVO STANCHEV;Un domestico|DER ROSENKAVALIERCommedia  musicale in tre atti su libretto di Hugo von Hofmannstahl;1
NAHUEL DI PIERRO;Achior,|BETULIA LIBERATAAzione sacra in due parti KV 118, su libretto di Pietro Metastasio;1
ALESSANDRO LUONGO;Figaro|IL BARBIERE DI SIVIGLIA;1
MILLAN SALCEDO;Mochila|LOS SOBRINOS DEL CAPITN GRANT (I nipoti del capitano Grant);1
GUIDO LOCONSOLO;Figaro|LE NOZZE DI FIGARO;1
TORSTEN HOFMANN;Valzacchi|DER ROSENKAVALIER;1
STEFANIE IRANYI;Uninserviente|VC MAKROPULOS (Laffare Makropulos);1
LAURA CHERICI;Berta|IL BARBIERE DI SIVIGLIA;1
ELENA BORIN;Giannetta|LELISIR DAMORE;4
CHRISTIAN FARAVALLI;Gran sacerdote di Belo|NABUCCO;1
I MARIANA REWERSKI;Fortuna, Anna, Dama|LA DIDONE;1
CECILE GALOIS;Berta|IL BARBIERE DI SIVIGLIA;1
LEO NUCCI;Ezio|ATTILA;1
PALOMA SUAREZ;Voz interna|LA CHULAPONA;1
ADINA AARON;Leonora|IL TROVATORE;1
GLADY ROSSI;Gilda|RIGOLETTO;1
CARMELO DE GIOSA;Don Riccardo, scudiero del re|ERNANI;1
ANDREEA SOARE;Enrichetta di Francia. regina dInghilterra|I PURITANI;1
GABRIELE RIBIS;Robert Green|DER VAMPYR (Il Vampiro);1
ORFEO ZANETTI;Borsa|RIGOLETTO;1
CARMELA REMIGIO;Donna Elvira,|DON GIOVANNI;1
VITTORIO GRIGOLO;Romo|ROMEO ET JULIETTE;1
GIAN MARCO AVELLINO;Un giudice|UN BALLO IN MASCHERA;1
FRANCESCO PITTARI;Mastro Trabuco|LA FORZA DEL DESTINO;1
