982|Dancaire|"Carmen"
1088|Sommo Sacerdote di Belo|"Nabucco"
3551|Il Principe di Bouillon|"Adriana Lecouvreur"
3187|Arturo, conte di Ravenstel|"La Straniera"
47|Benoit|"La Bohéme"
1762|Semiramide|-
404|Dancairo|"Carmen"
1814|Doctor Mirabel|"Los sobrinos del Capitan Grant"
4164|La théière, le petir vieillard, la rainette|"L’heure espagnole" '-- "L’enfant et les sortilèges"
2856|Una cameriera, Una donna delle pulizie|"Věc Makropulos"
3955|Atalanta|“Serse” di Händel
3888|Lizard, Waiter, Priest, Rubbernecker, Delivery boy|"Powder her face"
3993|Tiresias|"The Bassarids"
1684|Jack|"Lulu"
4137|Giacomo Balducci|"Benvenuto Cellini" di Hector Berlioz
2105|Ecuba|"La Didone"
2509|Sorceress|"Dido and Aeneas"
1899|Rainer Maria Rilke|-
855|Monostato|"Die Zauberflöte"
421|Lesbo|"Agrippina"
2492|Klingsor|“Parsifal”
1181|Príncipe Gremin|"Evgenij Onegin"
2515|Sir Edgardo</em> <em>di Ravenswood|"Lucia di Lammermoor" al Pergolesi di Jesi
2500|Il conte Ivrea|"Un giorno di regno"
3749|Il Dottor Dulcamara, medico ambulante|"L'elisir d'amore"
302|Roméo|"Roméo et Juliette"
1761|Oroe|-
1342|Betto di Signa|"Il Trittico" di Giacomo Puccini
3856|Fiorello/Un ufficiale|"Il barbiere di Siviglia"
1991|La signora Stuhlá|"Die glückliche Hand" e "Osud"
2069|Isacco|"La gazza ladra"
1253|Tre Ondine|"Rusalka"
1354|Angelina, detta Cenerentola|"La Cenerentola"
3408|Baba la turca|"The Rake's Progress"
3991|Dionysus|"The Bassarids"
3208|Primo contadino|"Pagliacci"
2552|Un cantore|"La Gioconda"
2615|Schuppentier|"L' ecume des Jours" di Edison Denisov
1092|Macduff|"Macbeth"
3874|Benoît / Alcindoro|"La Bohème"
527|Un cappadociano|"Salome"
3843|Quint|"The turn of the screw"
1105|English clerk|"Death in Venice" (Morte a Venezia)
2291|Thespis / Mercure|"Platée"
995|Uno spirito|"Dido and Aeneas"
4112|Il Trinca|"La cena delle beffe"
3958|Serse|“Serse” di Händel
2661|Roderigo, gentiluomo veneziano|"Otello"
1202|Werther|"Werther"
