ANDRES VEREMENDI;dallomonimo dramma di William Shakespeare;1
CECILIA MOLINARI;IL BARBIERE DI SIVIGLIA;1
GIOVANNI TRISTACCI;MANON Opra comique in cinque atti su libretto di Henri Meilhac e Philippe Gille,;1
MARIANGELA SICILIA;RIGOLETTO;1
OLGA PODGORNAYA;RIGOLETTO;1
DWYNE CROFT;DAS RHEINGOLD (Loro del Reno);1
AUXILIADORA TOLEDANO;LELISIR DAMORE;1
COLIN JUDSON;THE RAKES PROGRESS;1
SHALVA MUKERIA;LA SONNAMBULA;1
TORSTEN HOFMANN;LES CONTES DHOFFMANN;1
CATRIONA SMITH;CHOVANINA;1
GIACOMO PUCCINI;TOSCA;1
JULIE BOULIANNE;DON PASQUALE Dramma buffo in tre atti su libretto di Michele Accursi (Giovanni Ruffini);1
LAVINIA BINI;IL BARBIERE DI SIVIGLIA;1
WILLIAM CORR;LA TRAVIATA;1
VERONICA JOO;THE FAIRY QUEEN;1
CHARLIE TAYLOR;JOSEPH AND THE AMAZING TECHNICOLOR DREAMCOAT;1
GIAMPIERO CICCINO;MADAMA BUTTERFLY;1
OPERAFESTIVAL;AIDA;1
NURIA RIAL;AINADAMAR;1
NINA STEMME;SIEGFRIED;1
ZENO POPESCU;UN BALLO IN MASCHERA;1
EVA DURAN;LA CHULAPONA;1
CLAUDIA NICOLE BANDERA;DIE ZAUBERFLTE;1
ALAN OKE;THE MAGIC FLUTE (Il flauto magico);1
WILLIAM CORRO;FAUST;1
CATRIONA SMITH;LA SONNAMBULA;1
LUCA SALSI;UN BALLO IN MASCHERA;2
ANN PETERSEN;LOHENGRIN;1
JAVIER LANDETE;Ciclo Una Gigantesca Follia  Dongiovanni Festival;1
GIAN LUCA PISARONI;LOU SALOME\';1
MICHELE CASTAGNARO;IL TROVATORE;1
PAOLA GARDINA;LOCCASIONE FA IL LADRO;1
FABIO TINALLI;LA BOHEME;1
ENZO CAPUANO;TANNHUSER;1
ANNALISA STROPPA;DER SCHAUSPIELDIREKTOR;2
OMAR CAMATA;DON GIOVANNI;1
GABRIELE MANGIONE;STIFFELIO;1
ALESSANDRO SPINA;Fondazione Arena di Verona  87 Festival 2009;2
GABRIELE VIVIANI;LA TRAVIATA;1
BLANDINE STASKIEWICS;CARMEN;1
MATTEO FERRARA;LA GAZZA LADRA;1
ALEXEY TIHOMIROV;DER FREISCHUTZ (Il franco cacciatore);1
MANUELA CUSTER;LITALIANA IN ALGERI;1
LUIGI RONI;FEDORA;2
KAY STIEFERMANN;DER KNIG KANDAULES;1
NATALIA LUNAR;MANON Opra comique in cinque atti su libretto di Henri Meilhac e Philippe Gille,;1
AQUILES MACHADO;LA GIOCONDA;2
GIONATA GILIO;LE NOZZE DI FIGARO;1
ALESSIO DE COSMO;TOSCA;1
ADELINE HENRY;DON GIOVANNI;1
VERONICA SIMEONI;The Best of Italian Opera;1
SAMANTHA KORBEY;I PURITANI;1
MATHIAS SCHULZ;VON HEUTE AUF MORGEN (Dalloggi al domani);1
DIONISIA DI VICO;LA FIGLIA DEL REGGIMENTO;1
ROBERTO FRONTALI;LA FANCIULLA DEL WEST;1
REBECCA DE PONT DAVIES;NIXON IN CHINA;1
ANDREA MARMUGI;LA TRAVIATA;1
VITTORIO BARI;LA DIVINA COMMEDIA  LOPERA;1
STEVE DAVISLIM;DER FLIEGENDE HOLLNDER;1
ALBERTO MASTROMARINO;Fondazione Arena di Verona  87 Festival 2009;2
ENZO PERONI;IL TROVATORE;1
JAEHWAN JEONG;MANON Opra comique in cinque atti su libretto di Henri Meilhac e Philippe Gille,;1
TIZIANA TRAMONTI;LA BATTAGLIA DI LEGNANO;1
SALVATORE LICITRA;TOSCA;1
SANDRA  MALIKA;RUSALKA;1
ROBERTO FRONTALI;RIGOLETTO;1
DEVID CECCONI;PAGLIACCI;1
SIMONE PIAZZOLA;LA TRAVIATA;8
CHEN REISS;SIEGFRIED examcrowd.com;1
DARIO GIORGEL;ROMO ET JULIETTE;2
FEDERICO LONGHI;CARMEN;3
CINZIA DE MOLA;CAVALLERIA RUSTICANA;1
PAOLO SERRA;LOPERA DA TRE SOLDI (Die Dreigroschenoper);1
ALESSANDRO SPINA;WERTHER;1
SINAN YAN;SIMON BOCCANEGRA;1
EGILS SILLINS;DER FLIEGENDE HOLLNDER;1
LAURA FRANCO;TOSCA;2
MATHIAS HAUSMANN;Musica di Georges BizetCarmen NATASCHA PETRINSKY;1
SIMONE SCHNEIDER;LES CONTES DHOFFMANN;1
ROLANDO PANERAI;IL CAMPANELLO;1
NICOLA PAMIO;TURANDOT;3
ZUZANA MARKOV;UN BALLO IN MASCHERA;1
BERNADETTE FLAITZ;GOTTERDAMMERUNG ( Il crepuscolo degli dei);1
DANIELE BARTOLINI;MADAMA BUTTERFLY;1
GEZIM MYSHKETA;TURANDOT;1
MARCOS FINK;LOPERA SERIA;1
ANA DURLOVSKI;BERENICE REGINA DI ARMENIA (IL VOLOGESO);1
FRANCESCO VERNA;TURANDOT;1
SARA MINGARDO;LITALIA DEL DESTINO;1
SILVANA BENETTI;LUCIA DI LAMMERMOOR;1
LEONARDO GRAMEGNA;NABUCCO;1
GABRIELE VIVIANI;DON PASQUALE;1
SAVERIO FIORE;DON CARLO;1
